MI0000963	rno-mir-223;
MI0000964	rno-mir-290;
MI0000965	rno-mir-291;rno-mir-291a;
MI0000966	rno-mir-292;
MI0000967	rno-mir-296;
MI0000968	rno-mir-297;
MI0000969	rno-mir-298;
MI0000970	rno-mir-299;rno-mir-299a;
MI0000971	rno-mir-300;
MI0000972	rno-mir-320;
MI0000973	rno-mir-321;
MI0001152	rno-mir-196b;rno-mir-196b-1;
MI0001423	rno-mir-421;
MI0001639	rno-mir-448;
MI0001643	rno-mir-429;
MI0001650	rno-mir-449;rno-mir-449a;
MI0001654	rno-mir-450;rno-mir-450a;
MI0001656	rno-mir-365;
MI0001722	rno-mir-431;
MI0001724	rno-mir-433;
MI0001731	rno-mir-451;
MI0003477	rno-mir-489;
MI0003478	rno-mir-383;
MI0003479	rno-mir-207;
MI0003480	rno-mir-501;
MI0003481	rno-mir-361;
MI0003482	rno-mir-215;
MI0003483	rno-mir-224;
MI0003485	rno-mir-483;
MI0003486	rno-mir-370;
MI0003487	rno-mir-377;
MI0003488	rno-mir-412;
MI0003489	rno-mir-1;
MI0003490	rno-mir-133b;
MI0003524	rno-mir-540;
MI0003525	rno-mir-543;
MI0003526	rno-mir-539;
MI0003527	rno-mir-541;
MI0003528	rno-mir-542;rno-mir-542-1;
MI0003540	rno-mir-493;
MI0003541	rno-mir-379;
MI0003542	rno-mir-494;
MI0003543	rno-mir-376c;
MI0003544	rno-mir-376b;
MI0003545	rno-mir-376a;
MI0003546	rno-mir-381;
MI0003547	rno-mir-487b;
MI0003548	rno-mir-382;
MI0003549	rno-mir-485;
MI0003550	rno-mir-409;rno-mir-409a;
MI0003551	rno-mir-369;
MI0003552	rno-mir-374;
MI0003553	rno-mir-363;
MI0003554	rno-mir-20b;
MI0003555	rno-mir-503;rno-mir-503-1;
MI0003719	rno-mir-378;rno-mir-378a;
MI0003720	rno-mir-505;
MI0003721	rno-mir-499;
MI0003722	rno-mir-664-1;
MI0003723	rno-mir-664-2;
MI0003724	rno-mir-497;
MI0006112	rno-mir-466b-1;
MI0006113	rno-mir-466b-2;
MI0006114	rno-mir-466c;
MI0006115	rno-mir-743b;
MI0006116	rno-mir-871;
MI0006117	rno-mir-872;
MI0006118	rno-mir-874;
MI0006119	rno-mir-877;
MI0006120	rno-mir-878;
MI0006121	rno-mir-879;
MI0006122	rno-mir-880;
MI0006123	rno-mir-881;
MI0006126	rno-mir-883;
MI0006130	rno-mir-147;
MI0006131	rno-mir-17-2;
MI0006132	rno-mir-181d;
MI0006133	rno-mir-182;
MI0006134	rno-mir-188;
MI0006135	rno-mir-190b;
MI0006136	rno-mir-196c;
MI0006137	rno-mir-301b;
MI0006140	rno-mir-375;
MI0006141	rno-mir-380;
MI0006142	rno-mir-384;
MI0006143	rno-mir-410;
MI0006144	rno-mir-411;
MI0006145	rno-mir-423;
MI0006146	rno-mir-425;
MI0006147	rno-mir-434;rno-mir-434-1;
MI0006148	rno-mir-455;
MI0006149	rno-mir-463;
MI0006150	rno-mir-471;
MI0006151	rno-mir-484;
MI0006152	rno-mir-495;
MI0006153	rno-mir-500;
MI0006154	rno-mir-532;
MI0006155	rno-mir-598;rno-mir-598-1;
MI0006156	rno-mir-671;
MI0006157	rno-mir-672;
MI0006158	rno-mir-673;
MI0006159	rno-mir-674;
MI0006160	rno-mir-708;
MI0006161	rno-mir-742;
MI0006162	rno-mir-743a;
MI0006163	rno-mir-758;
MI0006164	rno-mir-760;
MI0006165	rno-mir-770;
MI0006166	rno-mir-873;
MI0006167	rno-mir-92b;
MI0006168	rno-mir-488;
MI0006169	rno-mir-652;
MI0006342	rno-mir-146b;
MI0006343	rno-mir-551b;
MI0012584	rno-mir-202;
MI0012585	rno-mir-490;
MI0012586	rno-mir-513;
MI0012587	rno-mir-105;
MI0012588	rno-mir-220;rno-mir-220-1;
MI0012589	rno-mir-1224;
MI0012590	rno-mir-362;
MI0012591	rno-mir-511;
MI0012592	rno-mir-504;
MI0012593	rno-mir-544;
MI0012594	rno-mir-568;
MI0012595	rno-mir-582;
MI0012596	rno-mir-592;
MI0012597	rno-mir-615;
MI0012598	rno-mir-628;
MI0012599	rno-mir-632;
MI0012600	rno-mir-653;
MI0012601	rno-mir-668;
MI0012602	rno-mir-802;
MI0012603	rno-mir-675;
MI0012604	rno-mir-875;
MI0012605	rno-mir-876;
MI0012606	rno-mir-665;
MI0012607	rno-mir-935;
MI0012608	rno-mir-201;
MI0012609	rno-mir-293;
MI0012610	rno-mir-294;
MI0012611	rno-mir-295;rno-mir-295-1;
MI0012612	rno-mir-465;
MI0012613	rno-mir-547;
MI0012614	rno-mir-667;
MI0012615	rno-mir-761;
MI0012616	rno-mir-764;
MI0012617	rno-mir-666;
MI0012618	rno-mir-759;
MI0012619	rno-mir-678;
MI0012620	rno-mir-685;
MI0012621	rno-mir-711;
MI0012622	rno-mir-496;
MI0015395	rno-mir-3541;
MI0015396	rno-mir-3542;rno-mir-3542-1;
MI0015397	rno-mir-3543;rno-mir-3543-1;
MI0015398	rno-mir-3544;
MI0015399	rno-mir-3545;rno-mir-203b;
MI0015400	rno-mir-3546;
MI0015401	rno-mir-3547;
MI0015402	rno-mir-449c;
MI0015403	rno-mir-3085;
MI0015404	rno-mir-3548;
MI0015405	rno-mir-3549;
MI0015406	rno-mir-3550;
MI0015407	rno-mir-3551;
MI0015408	rno-mir-344b-2;
MI0015409	rno-mir-3552;
MI0015410	rno-mir-3553;
MI0015411	rno-mir-3074;
MI0015412	rno-mir-3554;rno-mir-31b;
MI0015413	rno-mir-3555;rno-mir-191b;
MI0015414	rno-mir-3556b;rno-mir-3556b-1;
MI0015415	rno-mir-3557;
MI0015416	rno-mir-3556a;
MI0015417	rno-mir-291b;
MI0015418	rno-mir-3596d;
MI0015419	rno-mir-466d;
MI0015420	rno-mir-3558;
MI0015421	rno-mir-3559;
MI0015422	rno-mir-3560;
MI0015423	rno-mir-3561;
MI0015424	rno-mir-3562;
MI0015425	rno-mir-3563;rno-mir-299b;
MI0015426	rno-mir-3597-3;rno-mir-9b-3;
MI0015427	rno-mir-3564;
MI0015428	rno-mir-3565;rno-mir-218b;
MI0015429	rno-mir-3065;
MI0015430	rno-mir-3597-1;rno-mir-9b-1;
MI0015431	rno-mir-3566;
MI0015432	rno-mir-344a-2;
MI0015433	rno-mir-3567;rno-mir-126b;
MI0015434	rno-mir-208b;
MI0015435	rno-mir-216b;
MI0015436	rno-mir-3568;
MI0015437	rno-mir-3569;
MI0015438	rno-mir-3570;
MI0015439	rno-mir-3597-2;rno-mir-9b-2;
MI0015440	rno-mir-3571;
MI0015441	rno-mir-1949;
MI0015442	rno-mir-3572;
MI0015443	rno-mir-1188;
MI0015444	rno-mir-3573;
MI0015445	rno-mir-1193;
MI0015446	rno-mir-3574;
MI0015447	rno-mir-3575;
MI0015448	rno-mir-3576;
MI0015449	rno-mir-3577;
MI0015450	rno-mir-1912;
MI0015451	rno-mir-3578;
MI0015452	rno-mir-3579;
MI0015453	rno-mir-3580;
MI0015454	rno-mir-3581;rno-mir-409b;
MI0015455	rno-mir-3596b;
MI0015456	rno-mir-3582;rno-mir-133c;
MI0015457	rno-mir-3583;
MI0015458	rno-mir-3584;rno-mir-3584-1;
MI0015459	rno-mir-3596c;
MI0015460	rno-mir-3585;
MI0015461	rno-mir-3586;
MI0015462	rno-mir-2964;rno-mir-219b;
MI0015463	rno-mir-3587;
MI0015464	rno-mir-702;
MI0015465	rno-mir-3596a;
MI0015466	rno-mir-3588;
MI0015467	rno-mir-3589;
MI0015468	rno-mir-3590;
MI0015469	rno-mir-2985;
MI0015470	rno-mir-1249;
MI0015471	rno-mir-3591;rno-mir-122b;
MI0015472	rno-mir-344b-1;
MI0015473	rno-mir-3592;
MI0015474	rno-mir-3593;
MI0015475	rno-mir-3594;
MI0015476	rno-mir-3120;
MI0015477	rno-mir-741;
MI0015478	rno-mir-3595;
MI0015479	rno-mir-328b;
MI0015967	rno-mir-220-2;
MI0015968	rno-mir-295-2;
MI0020343	rno-mir-1199;
MI0021533	rno-mir-1839;
MI0021534	rno-mir-3068;
MI0021535	rno-mir-1843;rno-mir-1843a;
MI0021536	rno-mir-509;
MI0021537	rno-mir-1306;
MI0021538	rno-mir-3473;
MI0021539	rno-mir-6215;
MI0021540	rno-mir-378b;
MI0021541	rno-mir-6216;
MI0021832	rno-mir-6314;
MI0021833	rno-mir-3099;
MI0021834	rno-mir-344i;
MI0021835	rno-mir-6315;
MI0021836	rno-mir-3102;
MI0021837	rno-mir-344g;
MI0021838	rno-mir-6316;
MI0021839	rno-mir-6317;rno-mir-6317-1;
MI0021840	rno-mir-6318;
MI0021841	rno-mir-6319;rno-mir-6319-1;
MI0021842	rno-mir-3075;
MI0021843	rno-mir-6320;
MI0021844	rno-mir-6321;
MI0021845	rno-mir-1298;
MI0021846	rno-mir-6322;
MI0021847	rno-mir-6323;
MI0021848	rno-mir-6324;
MI0021849	rno-mir-6325;
MI0021850	rno-mir-6326;
MI0021851	rno-mir-6327;
MI0021852	rno-mir-6328;
MI0021853	rno-mir-6329;
MI0021854	rno-mir-6330;
MI0021855	rno-mir-6331;
MI0021856	rno-mir-3072;
MI0021857	rno-mir-679;
MI0021858	rno-mir-6332;
MI0021859	rno-mir-6333;
MI0021860	rno-mir-6334;
MI0024715	rno-mir-7578;
