100360880 	 NM_001256509
108348108 	 NM_001329896
112400 	 NM_001271125
112400 	 NM_001271118
112400 	 NM_001271127
112400 	 NM_001271128
112400 	 NM_001271121
112400 	 NM_031588
112400 	 NM_001271130
112400 	 NM_001271120
112400 	 NM_001271129
112400 	 NM_001271122
112400 	 NM_001271119
112400 	 NM_001271126
112400 	 NM_001271124
112400 	 NM_001271123
113894 	 NM_181550
113894 	 NM_001393886
113894 	 NM_175843
113894 	 NM_001393885
113894 	 NM_001393884
113912 	 NM_053613
114099 	 NM_053641
114099 	 NM_053641
114105 	 NM_053647
114109 	 NM_053651
114111 	 NM_053653
114114 	 NM_053655
114115 	 NM_053656
114243 	 NM_053683
114244 	 NM_053684
114489 	 NM_053697
114505 	 NM_053713
114509 	 NM_001191547
114553 	 NM_053734
114558 	 NM_001034117
114558 	 NM_053739
114593 	 NM_053750
114700 	 NM_053763
114851 	 NM_080782
114856 	 NM_053769
114862 	 NM_153814
116470 	 NM_053788
116484 	 NM_053800
116502 	 NM_053812
116510 	 NM_053819
116553 	 NM_053828
116554 	 NM_053829
116562 	 NM_053836
116568 	 NM_053840
116590 	 NM_053842
116591 	 NM_053843
116601 	 NM_058213
116630 	 NM_053852
116632 	 NM_053854
116638 	 NM_053859
116640 	 NM_053861
116643 	 NM_053864
116647 	 NM_053868
116669 	 NM_053889
116671 	 NM_053891
116677 	 NM_053897
116686 	 NM_053906
117027 	 NM_053958
117029 	 NM_053960
117038 	 NM_053968
117064 	 NM_053991
117261 	 NM_057121
117261 	 NM_001079838
117273 	 NM_057132
117287 	 NM_001277253
117287 	 NM_057143
117287 	 NM_001277252
117287 	 NM_001277251
117287 	 NM_001277250
117287 	 NM_001277249
117514 	 NM_001008767
117516 	 NM_057149
117516 	 NM_057149
117519 	 NM_057152
140586 	 NM_080403
140588 	 NM_080405
140590 	 NM_080407
140694 	 NM_080689
140908 	 NM_080885
140914 	 NM_133306
155012 	 NM_130409
156117 	 NM_130422
156767 	 NM_130426
161452 	 NM_130429
161452 	 NM_130429
170496 	 NM_130741
170538 	 NM_133307
170580 	 NM_130752
170583 	 NM_130754
170583 	 NM_130754
170851 	 NM_031643
170897 	 NM_001270811
170897 	 NM_133386
170897 	 NM_001270810
170897 	 NM_001270809
170897 	 NM_001270808
170897 	 NM_001270807
170899 	 NM_172042
170899 	 NM_172041
170913 	 NM_133401
170922 	 NM_133409
171026 	 NM_133515
171045 	 NM_133523
171052 	 NM_133530
171056 	 NM_133534
171104 	 NM_133573
171115 	 NM_133584
171116 	 NM_133585
171143 	 NM_001136229
171369 	 NM_134360
171373 	 NM_001393675
171373 	 NM_134363
171374 	 NM_134364
171384 	 NM_134371
